Squad,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of xG,Mean of xG,Std of xG,Median of CrdY,Mean of CrdY,Std of CrdY,Median of CrdR,Mean of CrdR,Std of CrdR,Median of PrgP,Mean of PrgP,Std of PrgP
all,1,1.9488752556237219,3.414566758812977,1,1.4396728016359919,2.1617342516343356,0.8,1.9756646216768914,3.0000001396850906,2,2.8732106339468304,2.5407091510793776,0,0.08793456032719836,0.3044035215065608,35,50.04703476482618,48.36426667896745
Arsenal,2,2.772727272727273,2.8103858095052354,1.5,2.272727272727273,2.675849988353824,1.65,2.5,2.5875158154566122,2.5,2.909090909090909,1.9738550848793068,0,0.22727272727272727,0.5284134548067253,55.5,75.18181818181819,60.81559665527253
Aston Villa,1,1.8571428571428572,3.2853692020305405,0,1.4642857142857142,2.3645866110738765,0.8,1.9142857142857144,2.936073755975674,2,2.4285714285714284,2.251395804558378,0,0.07142857142857142,0.262265264156481,33.5,42.75,46.34382375246997
Bournemouth,1,2.217391304347826,3.410632062711203,1,1.608695652173913,2.0167284586402126,1,2.617391304347826,3.4702177261943774,3,3.608695652173913,2.96554656061274,0,0.043478260869565216,0.20851441405707472,41,56.82608695652174,50.939047510380696
Brentford,0,2.6666666666666665,5.11207720338155,1,1.7619047619047619,2.4475449312476756,0.8,2.419047619047619,3.832834336051983,2,2.2857142857142856,1.5856499343441837,0,0.047619047619047616,0.21821789023599236,51,55.904761904761905,52.115165510535185
Brighton,1,1.8214285714285714,2.881017971180421,1,1.1785714285714286,1.5408889072021463,0.6,1.832142857142857,2.586869060155835,2,2.5714285714285716,2.5155600426231786,0,0.10714285714285714,0.314970394174356,37,47.214285714285715,48.245788258210524
Chelsea,1,2.1538461538461537,3.3904844219351036,1,1.6538461538461537,2.115510485765697,0.7,2.4076923076923076,3.936284855233226,2.5,3.6153846153846154,3.2505620815720233,0,0.038461538461538464,0.19611613513818402,30.5,54.96153846153846,60.636280076687264
Crystal Palace,0,1.8571428571428572,3.3657943235693155,1,1.5238095238095237,2.0885173597326796,1,2.4428571428571426,3.342090876767331,2,3.4761904761904763,3.249908423618235,0,0.19047619047619047,0.40237390808147827,46,48.666666666666664,38.24961873448327
Everton,1,1.4090909090909092,1.967814618376023,1,0.9090909090909091,1.1087999050492516,0.95,1.65,1.9466087727855625,3,3.227272727272727,2.223935126276719,0,0.09090909090909091,0.29424494316824984,33.5,39.95454545454545,33.462811302395686
Fulham,0.5,2.1363636363636362,3.1966568033829836,1,1.8181818181818181,2.422835089338494,0.95,1.9636363636363638,2.541942537012169,2,3.1363636363636362,2.9648007167503336,0,0.09090909090909091,0.29424494316824984,49,60.63636363636363,47.08102990189761
Ipswich Town,0,1.0666666666666667,2.2884015402012388,0,0.8,1.0635010497214474,0.6,1.0333333333333334,1.7044229144388923,2,2.7,2.365703219792781,0,0.13333333333333333,0.3457459036417604,20,26.733333333333334,24.95089430134282
Leicester City,0,1.0384615384615385,1.7995725988304938,0,0.8076923076923077,1.132050556087696,0.35,1.080769230769231,1.942373647014236,2,2.923076923076923,2.4645174281887625,0,0,0,25.5,36.61538461538461,33.6274613053997
Liverpool,1,3.5714285714285716,6.209439818304293,2,2.6666666666666665,3.928528138289623,1.6,3.5238095238095237,5.410259213929103,3,2.857142857142857,2.308369863902106,0,0.09523809523809523,0.30079260375911915,67,79.57142857142857,65.63045895662427
Manchester City,1,2.6,4.406434688800762,0,1.88,2.5053276565484737,1.2,2.496,4.170079935285013,2,2.32,1.74928556845359,0,0.04,0.2,62,68.16,58.15401963751087
Manchester Utd,0,1.3846153846153846,2.192294196989502,0,0.9230769230769231,2.0961503175693657,0.9,1.6961538461538461,2.2532608848920748,2,2.8076923076923075,2.4003204914216063,0,0.11538461538461539,0.4314554973040048,42.5,46.23076923076923,55.31459676599493
Newcastle Utd,0,2.727272727272727,4.958703922270878,1,2.090909090909091,2.8769873612958885,0.55,2.5272727272727273,4.055587775870743,2,2.6363636363636362,2.9365586361209655,0,0.045454545454545456,0.21320071635561041,57.5,59.77272727272727,57.11136307432867
Nott'ham Forest,1,2.3636363636363638,4.169566090767886,1,1.7272727272727273,2.47235800655045,1.2999999999999998,1.8454545454545455,2.4839920390807313,2,3.227272727272727,2.7762910884473566,0,0.09090909090909091,0.2942449431682498,34,42.54545454545455,40.25599898829309
Southampton,0,0.7931034482758621,1.081642611455492,0,0.4827586206896552,0.8289705171033535,0.4,1.0241379310344827,1.3694772653445426,2,2.7241379310344827,2.8895940362932095,0,0.10344827586206896,0.4092525928189875,23,34.93103448275862,37.726393787073526
Tottenham,0,2.1481481481481484,3.2070079957649447,1,1.6296296296296295,2.322931638256149,0.7,2.0592592592592593,2.89525596839159,2,2.3333333333333335,2.3533936216582085,0,0.037037037037037035,0.19245008972987523,48,55.55555555555556,46.50172315527949
West Ham,0,1.36,2.325224003546038,1,0.84,1.1430952132988166,1,1.692,2.102561929329709,2,2.84,2.5442746183015177,0,0.12,0.33166247903553997,31,42.24,38.045236232674384
Wolves,1,2.0434782608695654,3.6739656660637174,1,1.565217391304348,1.973139790387662,0.8,1.6695652173913043,2.3064011286001196,2,3.1739130434782608,2.7077695268018434,0,0.08695652173913043,0.2881040655200304,30,43.65217391304348,38.717635981144035
